GRPIP,Name
59,Greenpoint & Williamsburg
30,"Belmont, Crotona Park East & East Tremont"
14,Bensonhurst & Bath Beach
36,Forest Hills & Rego Park
17,Bensonhurst & Bath Beach
55,"Bedford Park, Fordham North & Norwood "
31,"Co-op City, Pelham Bay & Schuylerville "
28,"Hunts Point, Longwood & Melrose"
30,Brighton Beach & Coney Island
18,Brooklyn Heights & Fort Greene
15,Jackson Heights & North Corona
34,Flatbush & Midwood
70,Sunnyside & Woodside
16,"Sheepshead Bay, Gerritsen Beach & Homecrest"
28,"Battery Park City, Greenwich Village & Soho"
57,Flatbush & Midwood
67,"Pelham Parkway, Morris Park & Laconia "
12,"Battery Park City, Greenwich Village & Soho"
29,Bedford-Stuyvesant
9,East Harlem
48,East New York & Starrett City
29,"Park Slope, Carroll Gardens & Red Hook"
41,Canarsie & Flatlands
76,"Battery Park City, Greenwich Village & Soho"
18,"Sheepshead Bay, Gerritsen Beach & Homecrest"
30,"Concourse, Highbridge & Mount Eden "
31,Canarsie & Flatlands
24,Astoria & Long Island City
28,Brownsville & Ocean Hill
23,Jackson Heights & North Corona
62,Chinatown & Lower East Side
50,Astoria & Long Island City
12,Canarsie & Flatlands
17,"Riverdale, Fieldston & Kingsbridge"
14,"Castle Hill, Clason Point & Parkchester"
44,Howard Beach & Ozone Park
27,Crown Heights North & Prospect Heights
34,Bensonhurst & Bath Beach
16,"Park Slope, Carroll Gardens & Red Hook"
40,"Concourse, Highbridge & Mount Eden "
24,Chinatown & Lower East Side
58,Sunnyside & Woodside
40,Jackson Heights & North Corona
34,Bay Ridge & Dyker Heights
7,"Concourse, Highbridge & Mount Eden "
36,"Morris Heights, Fordham South & Mount Hope"
24,Bensonhurst & Bath Beach
28,East Harlem
17,"Port Richmond, Stapleton & Mariner's Harbor"
84,"Flushing, Murray Hill & Whitestone"
53,Greenpoint & Williamsburg
63,Sunset Park & Windsor Terrace
11,"Hamilton Hts, Manhattanville & West Harlem"
8,"Battery Park City, Greenwich Village & Soho"
7,East Harlem
28,"Washington Heights, Inwood & Marble Hill"
34,"Jamaica, Hollis & St. Albans"
85,East New York & Starrett City
